City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
keuruu,62.2667,24.7,34.95,98,100,10.16,FI,1644811727
durres,41.3231,19.4414,35.78,81,30,6.91,AL,1644811727
vila,42.0304,-8.1588,42.93,93,92,4.09,PT,1644811727
siilinjarvi,63.0833,27.6667,35.62,93,100,13.8,FI,1644811728
chapais,49.7834,-74.8492,-23.82,100,91,1.88,CA,1644811728
santa maria,-29.6842,-53.8069,58.86,38,0,1.12,BR,1644811728
khor,47.8861,134.9464,13.05,90,100,1.7,RU,1644811728
reconquista,-29.15,-59.65,64.02,40,0,4.88,AR,1644811729
aquiraz,-3.9014,-38.3911,82.18,85,15,9.69,BR,1644811729
colborne,44.0001,-77.8828,3.6,75,100,8.37,CA,1644811729
isabela,6.7085,121.9711,84.33,66,68,3.47,PH,1644811730
basoko,1.2391,23.616,72.34,73,88,4.03,CD,1644811730
svetlaya,46.5389,138.3297,25.2,84,100,16.53,RU,1644811730
hofn,64.2539,-15.2082,22.69,67,54,8.34,IS,1644811730
stephenville,32.2207,-98.2023,51.93,36,0,4.0,US,1644811731
manicore,-5.8092,-61.3003,73.02,100,100,2.3,BR,1644811731
namatanai,-3.6667,152.4333,83.8,74,63,8.14,PG,1644811731
puri,19.8,85.85,72.12,42,31,6.44,IN,1644811732
mareeba,-17.0,145.4333,84.43,73,57,7.99,AU,1644811732
menomonie,44.8755,-91.9193,7.74,78,100,8.05,US,1644811709
qaqortoq,60.7167,-46.0333,21.7,89,100,12.59,GL,1644811732
obo,5.3998,26.4869,71.01,20,20,5.06,CF,1644811732
majene,-3.5403,118.9707,79.47,76,98,2.37,ID,1644811733
shihezi,44.3,86.0333,16.47,91,86,3.58,CN,1644811733
brae,60.3964,-1.353,39.11,90,100,27.0,GB,1644811793
bowen,-20.0167,148.2333,83.39,64,14,22.28,AU,1644811794
buang,13.3122,123.6419,80.01,71,91,6.31,PH,1644811794
ordu,40.9086,37.6845,32.5,94,100,1.45,TR,1644811794
te anau,-45.4167,167.7167,70.18,44,100,1.59,NZ,1644811794
hajiganj,23.2511,90.8592,72.18,41,4,7.63,BD,1644811795
torbay,47.6666,-52.7314,30.27,87,100,10.0,CA,1644811795
kungurtug,50.5994,97.5228,-6.61,84,50,1.41,RU,1644811795
jiuquan,39.7432,98.5174,30.72,38,61,6.87,CN,1644811795
san policarpo,12.1791,125.5072,81.72,68,100,10.4,PH,1644811796
bundaberg,-24.85,152.35,77.29,86,75,18.41,AU,1644811796
digapahandi,19.3667,84.5833,74.01,34,7,3.24,IN,1644811796
mbigou,-1.9005,11.906,67.91,99,100,2.19,GA,1644811797
puksoozero,62.5903,40.6066,25.97,96,100,8.88,RU,1644811797
china,25.7,-99.2333,54.32,31,97,10.25,MX,1644811540
shipunovo,52.1582,82.2173,22.41,90,100,17.43,RU,1644811797
pidvynohradiv,48.1395,22.9719,30.11,85,18,4.0,UA,1644811797
puerto escondido,15.85,-97.0667,81.43,57,40,10.36,MX,1644811798
chernyshevskiy,63.0128,112.4714,-6.47,96,100,1.52,RU,1644811798
mineros,-17.1167,-63.2333,70.99,77,100,4.36,BO,1644811798
benghazi,32.1167,20.0667,54.55,72,3,4.43,LY,1644811799
ndjole,-0.1783,10.7649,72.86,97,100,0.54,GA,1644811799
dwarka,22.2394,68.9678,70.68,57,0,4.27,IN,1644811799
carnot,4.9409,15.8665,66.69,27,91,1.79,CF,1644811799
synya,65.3718,58.0387,3.96,97,73,6.42,RU,1644811800
kuminskiy,58.6667,66.5667,-14.17,100,97,3.89,RU,1644811800
nanortalik,60.1432,-45.2371,18.79,86,100,28.97,GL,1644811801
almaznyy,48.0448,40.045,17.74,84,4,2.06,RU,1644811801
fairbanks,64.8378,-147.7164,7.61,77,100,4.61,US,1644811548
amapa,1.0,-52.0,72.27,99,100,1.97,BR,1644811801
taoudenni,22.6783,-3.9836,57.85,28,0,12.97,ML,1644811802
braintree,51.8782,0.5529,46.51,97,100,8.93,GB,1644811802
hirara,24.8,125.2833,64.54,81,100,24.16,JP,1644811803
balkanabat,39.5108,54.3671,37.36,68,9,1.68,TM,1644811803
opportunity,47.6499,-117.2399,38.57,69,0,0.0,US,1644811803
tabas,33.5959,56.9244,47.35,46,0,4.99,IR,1644811803
luwuk,-0.9516,122.7875,85.44,66,77,2.26,ID,1644811804
honiara,-9.4333,159.95,80.67,88,99,5.19,SB,1644811804
ihosy,-22.4,46.1167,68.85,80,69,6.51,MG,1644811804
moron,-34.6534,-58.6198,69.98,58,0,5.12,AR,1644811805
ranipur,27.2879,68.5051,57.25,24,2,9.04,PK,1644811805
kourou,5.1552,-52.6478,77.11,93,100,7.0,GF,1644811805
wolfhagen,51.3261,9.1702,45.66,74,99,12.62,DE,1644811806
barra patuca,15.8,-84.2833,75.25,84,1,8.61,HN,1644811806
piripiri,-4.2733,-41.7769,72.05,96,53,1.95,BR,1644811702
little current,45.9793,-81.9248,-8.77,93,8,2.84,CA,1644811614
pangnirtung,66.1451,-65.7125,-34.24,94,75,5.32,CA,1644811866
taganak,6.0833,118.3,80.33,79,100,3.98,PH,1644811867
kunming,25.0389,102.7183,58.35,30,0,7.23,CN,1644811633
tilichiki,60.4667,166.1,-12.23,91,31,9.73,RU,1644811867
retz,48.7494,15.9624,35.42,75,3,7.76,AT,1644811867
port hawkesbury,45.6169,-61.3485,21.78,93,100,6.91,CA,1644811867
ponca city,36.707,-97.0856,39.11,47,0,5.75,US,1644811868
alekseyevsk,57.8406,108.3492,-9.54,90,65,1.52,RU,1644811868
bara,10.3744,10.7288,66.9,21,87,6.13,NG,1644811868
san pedro,14.35,121.0167,86.32,67,35,7.25,PH,1644811869
jishou,28.3167,109.7167,52.36,64,54,1.5,CN,1644811869
santa marta,11.2408,-74.199,84.25,63,20,18.99,CO,1644811869
belmonte,-15.8631,-38.8828,75.7,89,90,5.84,BR,1644811869
kapit,2.0167,112.9333,91.58,53,78,1.92,MY,1644811870
ambon,-3.6954,128.1814,86.14,70,40,3.44,ID,1644811870
grajau,-5.8194,-46.1386,72.32,98,100,3.22,BR,1644811870
conceicao do araguaia,-8.2578,-49.2647,71.69,92,98,3.04,BR,1644811871
yakeshi,49.2833,120.7333,-12.19,94,100,4.7,CN,1644811871
semenivka,52.1783,32.5818,23.14,88,12,10.94,UA,1644811871
betioky,-23.7167,44.3833,77.02,56,0,8.48,MG,1644811871
tezu,27.9167,96.1667,71.13,21,0,3.69,IN,1644811872
jamame,0.0722,42.7506,75.74,82,84,7.9,SO,1644811872
mecca,21.4267,39.8261,70.25,28,18,3.83,SA,1644811872
mao,39.8885,4.2658,54.16,82,75,16.11,ES,1644811872
walvis bay,-22.9575,14.5053,72.09,83,47,1.03,NA,1644811873
kahului,20.8947,-156.47,75.22,71,0,11.5,US,1644811758
codrington,-38.2667,141.9667,71.42,60,19,11.79,AU,1644811873
brus laguna,15.75,-84.4833,71.08,95,4,2.95,HN,1644811873
christchurch,-43.5333,172.6333,66.0,62,37,4.61,NZ,1644811783
valencia,39.3333,-0.8333,54.7,70,99,13.22,ES,1644811874
litovko,49.2361,135.1742,14.81,89,100,7.78,RU,1644811874
caceres,39.522,-6.3748,42.8,92,21,8.55,ES,1644811874
saint paul,44.9444,-93.0933,8.6,77,100,13.8,US,1644811632
impfondo,1.6381,18.0667,68.5,88,52,3.29,CG,1644811875
whitecourt,54.1502,-115.6855,28.06,96,100,4.14,CA,1644811875
kupang,-10.1667,123.5833,85.89,63,4,0.89,ID,1644811875
mala vyska,48.6431,31.6366,26.85,67,0,6.35,UA,1644811876
yagodnoye,62.55,149.6667,-15.95,92,30,1.97,RU,1644811876
kasane,-17.8167,25.15,63.43,94,9,3.51,BW,1644811876
marawi,7.9986,124.2928,72.64,50,74,4.94,PH,1644811877
madison,34.7334,-86.5667,35.33,63,0,13.0,US,1644811344
padre bernardo,-15.35,-48.5,63.75,96,9,1.52,BR,1644811877
kudahuvadhoo,2.6708,72.8944,81.45,76,73,8.39,MV,1644811877
mianwali,32.5741,71.5264,61.56,31,100,1.05,PK,1644811878
puerto leguizamo,-0.1934,-74.7819,73.08,96,96,1.48,CO,1644811878
warrenton,-28.114,24.8475,67.91,46,1,3.11,ZA,1644811878
ligayan,4.6533,119.4706,82.06,76,97,12.39,PH,1644811938
ust-karsk,52.7011,118.8077,-1.3,88,100,1.48,RU,1644811939
lotoshino,56.2267,35.6414,23.94,84,100,14.45,RU,1644811939
tecoanapa,16.5167,-98.75,78.66,71,55,3.33,MX,1644811939
olenino,56.2092,33.4889,22.23,89,100,11.05,RU,1644811939
alappuzha,9.49,76.3264,79.81,70,13,3.36,IN,1644811869
sorong,-0.8833,131.25,80.08,82,100,5.3,ID,1644811835
tomatlan,19.9333,-105.25,70.65,56,47,3.13,MX,1644811940
hun,29.1268,15.9477,48.38,52,0,8.28,LY,1644811940
qui nhon,13.7667,109.2333,75.18,91,100,12.39,VN,1644811940
dongli,23.5656,116.8194,63.36,69,81,7.52,CN,1644811941
capreol,46.706,-80.9225,-22.09,76,21,3.36,CA,1644811941
corinto,37.9407,22.9573,48.69,79,8,1.12,GR,1644811941
aramil,56.6977,60.8369,17.22,92,75,4.0,RU,1644811942
mahajanga,-15.7167,46.3167,76.68,87,29,8.97,MG,1644811942
ilo,-17.6394,-71.3375,69.24,85,63,5.41,PE,1644811942
olafsvik,64.8945,-23.7142,33.49,67,98,12.55,IS,1644811943
kununurra,-15.7667,128.7333,80.58,78,66,0.0,AU,1644811943
waki,34.0667,134.15,45.73,73,83,5.06,JP,1644811943
asau,46.4333,26.4,26.96,82,97,3.78,RO,1644811944
port lincoln,-34.7333,135.8667,72.41,67,15,11.77,AU,1644811944
buraydah,26.326,43.975,48.67,34,0,3.0,SA,1644811944
dunedin,-45.8742,170.5036,61.81,60,86,10.0,NZ,1644811944
camopi,3.1655,-52.3158,72.1,100,100,1.59,GF,1644811945
bucov,44.9667,26.0833,32.86,73,100,1.45,RO,1644811945
buzmeyin,38.0507,58.2056,36.88,85,100,9.04,TM,1644811945
podstepki,53.5151,49.1355,21.85,97,81,2.28,RU,1644811945
gambela,8.25,34.5833,78.33,44,35,3.06,ET,1644811946
monterey,36.2505,-121.2516,59.05,13,7,4.88,US,1644811453
port hardy,50.6996,-127.4199,48.76,79,100,9.42,CA,1644811946
pachino,36.7186,15.0907,37.44,82,97,5.23,IT,1644811946
otradnoye,59.7775,30.8181,37.04,92,100,11.36,RU,1644811835
north platte,41.1239,-100.7654,40.98,44,0,5.99,US,1644811705
matata,-37.8833,176.75,70.34,77,87,4.41,NZ,1644811947
sobolevo,54.4299,31.8996,21.63,89,99,11.65,RU,1644811947
oroville,39.5138,-121.5564,65.23,61,0,1.01,US,1644811947
carquefou,47.2982,-1.4902,46.83,92,0,9.22,FR,1644811948
pontes e lacerda,-15.2261,-59.3353,71.92,97,100,0.89,BR,1644811827
kulhudhuffushi,6.6221,73.07,81.09,72,81,4.79,MV,1644811948
washington,47.5001,-120.5015,37.89,69,100,2.15,US,1644811858
itarema,-2.9248,-39.9167,78.82,82,22,11.23,BR,1644811791
baymak,52.5933,58.3225,2.1,96,72,6.4,RU,1644811948
rabo de peixe,37.8,-25.5833,56.28,80,75,6.91,PT,1644811949
punta alta,-38.8759,-62.0736,71.51,38,0,17.45,AR,1644811949
moree,-29.4667,149.85,93.22,21,40,6.91,AU,1644812009
palmer,42.1584,-72.3287,25.63,57,100,8.05,US,1644812009
akdagmadeni,39.6603,35.8836,24.76,96,100,0.85,TR,1644812010
wallacetown,-46.3333,168.2667,62.19,55,100,7.31,NZ,1644812010
sitka,57.0531,-135.33,40.89,81,100,11.5,US,1644811752
acajutla,13.5928,-89.8275,81.81,60,0,9.31,SV,1644811830
waitati,-45.75,170.5667,61.81,60,76,6.22,NZ,1644812010
ust-ishim,57.6935,71.1665,-4.59,100,95,3.4,RU,1644812011
kibondo,-3.5864,30.7203,58.75,94,100,2.62,TZ,1644812011
novaya zaimka,56.4857,66.9241,4.93,97,97,3.85,RU,1644812011
dakoro,14.5106,6.765,64.0,13,1,9.75,NE,1644812011
salalah,17.0151,54.0924,71.69,16,2,6.91,OM,1644812012
rajnagar,24.8833,79.9167,67.3,29,0,2.77,IN,1644812012
bontang,0.1333,117.5,83.52,70,72,5.99,ID,1644812012
nanton,50.3501,-113.7687,34.05,53,91,6.87,CA,1644812013
churapcha,62.0025,132.4325,-16.98,89,98,1.86,RU,1644812013
burgeo,47.6167,-57.6152,22.33,56,100,12.75,CA,1644812013
ballina,-28.8667,153.5667,78.98,88,51,13.11,AU,1644812013
ilebo,-4.3167,20.5833,68.4,98,95,0.85,CD,1644812014
andenes,69.3143,16.1194,30.18,86,100,3.44,NO,1644812014
rennes,48.1667,-1.6667,44.64,93,0,10.36,FR,1644812014
gasa,31.5,34.4667,53.58,73,98,7.74,PS,1644812015
college place,46.0493,-118.3883,44.08,70,0,3.44,US,1644812015
mayenne,48.3333,-0.6667,44.04,97,83,10.56,FR,1644812015
cascais,38.6979,-9.4215,53.51,71,0,20.0,PT,1644812015
amahai,-3.3333,128.9167,80.28,78,100,2.48,ID,1644812016
lenger,42.183,69.8839,35.04,98,100,15.05,KZ,1644812016
mitsamiouli,-11.3847,43.2844,80.46,79,37,2.35,KM,1644812016
crestview,30.7621,-86.5705,45.68,62,0,3.44,US,1644812016
